"Record ID","Company name","signupTimestamp","Create Date","Number of Associated Contacts"
"47342812983","company","2025-12-18 16:47","2025-12-18 16:47","0.0"
"47342658651","company","2025-12-18 16:45","2025-12-18 16:46","0.0"
"47337173067","Gorgeous Metal Shirt","2025-12-18 16:42","2025-12-18 16:42","0.0"
"47396704120","company","2025-12-18 16:41","2025-12-18 16:42","0.0"
"47396704119","company","2025-12-18 16:41","2025-12-18 16:42","0.0"
"47396704118","company","2025-12-18 16:41","2025-12-18 16:42","0.0"
"47341113633","company","2025-12-18 16:37","2025-12-18 16:37","0.0"
"47426728212","Lorry","2025-12-18 16:34","2025-12-18 16:34","0.0"
"47334106035","","","2025-12-18 16:33","0.0"
"47334106034","Practical Rubber Mouse","2025-12-18 16:32","2025-12-18 16:33","0.0"
"47334106033","company","2025-12-18 16:32","2025-12-18 16:33","0.0"
"47392258860","company","2025-12-18 16:32","2025-12-18 16:32","0.0"
"47347408705","","","2025-12-18 16:19","0.0"
"47338707208","Bouygues","2025-12-18 11:31","2025-12-18 11:32","0.0"
"47420242502","company","2025-12-18 08:01","2025-12-18 08:02","0.0"
"47416353415","","","2025-12-18 06:54","0.0"
"47417938854","","","2025-12-18 05:10","0.0"
"47354495825","company","2025-12-17 23:48","2025-12-17 23:49","0.0"
"47357751967","Coin LLC ","2025-12-17 23:42","2025-12-17 23:42","0.0"
"47336832776","company","2025-12-17 23:41","2025-12-17 23:41","0.0"
"47336832775","company","2025-12-17 23:41","2025-12-17 23:41","0.0"
"47336832774","company","2025-12-17 23:41","2025-12-17 23:41","0.0"
"47333778946","Small Wooden Car","2025-12-17 23:40","2025-12-17 23:41","0.0"
"47353104434","company","2025-12-17 23:37","2025-12-17 23:38","0.0"
"47353725848","Signplicity Sign Systems","2025-12-17 23:37","2025-12-17 23:37","0.0"
"47355582827","Fantastic Wooden Car","2025-12-17 23:16","2025-12-17 23:16","0.0"
"47329443907","","","2025-12-17 23:07","0.0"
"47411917440","","","2025-12-17 22:45","0.0"
"47357439529","company","2025-12-17 22:42","2025-12-17 22:42","0.0"
"47391614986","company","2025-12-17 22:40","2025-12-17 22:41","0.0"
"47346139489","company","2025-12-17 22:40","2025-12-17 22:40","0.0"
"47346139488","company","2025-12-17 22:40","2025-12-17 22:40","0.0"
"47408999437","Vonn Ryans Express ","2025-12-17 22:37","2025-12-17 22:38","0.0"
"47408999438","Deville Thurlow","2025-12-17 22:37","2025-12-17 22:38","0.0"
"47349392296","company","2025-12-17 22:32","2025-12-17 22:32","0.0"
"47396520226","company","2025-12-17 22:15","2025-12-17 22:16","0.0"
"47332064595","","","2025-12-17 22:15","0.0"
"47333306419","company","2025-12-17 22:14","2025-12-17 22:14","0.0"
"47357130802","company","2025-12-17 22:10","2025-12-17 22:10","0.0"
"47342945205","company","2025-12-17 22:09","2025-12-17 22:10","0.0"
